image_number,annotator,Time,done
IMG_2271,Nirmalka,19-04-2024_19-04-41,True
IMG_2235,Nirmalka,19-04-2024_19-04-41,True
IMG_1144,Nirmalka,19-04-2024_19-04-41,True
IMG_0048,Nirmalka,19-04-2024_19-04-41,True
IMG_2167,Nirmalka,19-04-2024_19-04-41,True
IMG_2163,Nirmalka,19-04-2024_19-04-41,True
IMG_1111,Nirmalka,19-04-2024_19-04-41,True
IMG_0576,dorins,16-04-2024_18-43-36,False
IMG_9979,dorins,16-04-2024_18-43-36,False
IMG_2166,dorins,16-04-2024_18-43-36,False
IMG_1160,dorins,16-04-2024_18-43-36,False
IMG_2146,dorins,16-04-2024_18-43-36,False
IMG_0023,dorins,16-04-2024_18-43-36,False
IMG_1204,dorins,16-04-2024_18-43-36,False
IMG_2124,dorins,16-04-2024_18-43-36,False
IMG_2183,dorins,16-04-2024_18-43-36,False
IMG_1135,dorins,16-04-2024_18-43-36,False
IMG_2144,dorins,16-04-2024_18-43-36,False
IMG_2125,dorins,16-04-2024_18-43-36,False
IMG_1136,dorins,16-04-2024_18-43-36,False
IMG_2159,dorins,16-04-2024_18-43-36,False
IMG_1115,dorins,16-04-2024_18-43-36,False
IMG_2151,dorins,16-04-2024_18-43-36,False
IMG_1190,dorins,16-04-2024_18-43-36,False
IMG_0558,dorins,16-04-2024_18-43-36,False
IMG_2162,dorins,16-04-2024_18-43-36,False
IMG_1776,dorins,16-04-2024_18-43-36,False
IMG_1170,dorins,16-04-2024_18-43-36,False
IMG_2191,dorins,16-04-2024_18-43-36,False
IMG_0043,dorins,16-04-2024_18-43-36,False
IMG_0624,dorins,16-04-2024_18-43-36,False
IMG_1109,dorins,16-04-2024_18-43-36,False
IMG_2217,dorins,16-04-2024_18-43-36,False
IMG_0044,dorins,16-04-2024_18-43-36,False
IMG_0609,dorins,16-04-2024_18-43-36,False
IMG_2169,dorins,16-04-2024_18-43-36,False
IMG_0614,dorins,16-04-2024_18-43-36,False
IMG_1800,dorins,16-04-2024_18-43-36,False
IMG_0072,dorins,16-04-2024_18-43-36,False
IMG_1876,dorins,16-04-2024_18-43-36,False
IMG_2275,dorins,16-04-2024_18-43-36,False
IMG_0061,dorins,16-04-2024_18-43-36,False
IMG_2260,dorins,16-04-2024_18-43-36,False
IMG_2142,dorins,16-04-2024_18-43-36,False
IMG_9984,dorins,16-04-2024_18-43-36,False
IMG_2209,dorins,16-04-2024_18-43-36,False
IMG_0599,dorins,16-04-2024_18-43-36,False
IMG_1107,dorins,16-04-2024_18-43-36,False
IMG_1196,dorins,16-04-2024_18-43-36,False
IMG_2215,dorins,16-04-2024_18-43-36,False
IMG_1201,dorins,16-04-2024_18-43-36,False
IMG_0571,dorins,16-04-2024_18-43-36,False
IMG_1168,dorins,16-04-2024_18-43-36,False
IMG_1877,dorins,16-04-2024_18-43-36,False
IMG_0611,dorins,16-04-2024_18-43-36,False
IMG_2147,dorins,16-04-2024_18-43-36,False
IMG_1120,dorins,16-04-2024_18-43-36,False
IMG_2155,dorins,16-04-2024_18-43-36,False
IMG_1202,dorins,16-04-2024_18-43-36,False
IMG_2158,dorins,16-04-2024_18-43-36,False
IMG_0563,dorins,16-04-2024_18-43-36,False
IMG_0584,dorins,16-04-2024_18-43-36,False
IMG_9995,dorins,16-04-2024_18-43-36,False
IMG_1200,dorins,16-04-2024_18-43-36,False
IMG_1199,dorins,16-04-2024_18-43-36,False
IMG_1096,dorins,16-04-2024_18-43-36,False
IMG_9998,dorins,16-04-2024_18-43-36,False
IMG_2134,etaylor,23-04-2024_22-56-57,True
IMG_2157,etaylor,23-04-2024_22-56-57,True
IMG_1186,etaylor,23-04-2024_22-56-57,True
IMG_0612,etaylor,23-04-2024_22-56-57,True
IMG_0045,etaylor,23-04-2024_22-56-57,True
IMG_0019,etaylor,23-04-2024_22-56-57,True
IMG_0562,etaylor,23-04-2024_22-56-57,True
IMG_0572,etaylor,23-04-2024_22-56-57,True
IMG_1784,etaylor,23-04-2024_22-56-57,True
IMG_0058,etaylor,23-04-2024_22-56-57,True
IMG_0597,etaylor,23-04-2024_22-56-57,True
IMG_1827,etaylor,23-04-2024_22-56-57,True
