model,precision,recall,precision_macro,recall_macro,accuracy,precision_per_class,recall_per_class,confusion_matrix
alexnet,0.9064150943396226,0.9064150943396226,0.8457308793838351,0.8942836838567174,0.9064150943396226,[0.94484267 0.64733624 0.94501373],[0.95505618 0.83846154 0.88933333],"[[ 85.    0.4   3.6]
 [  0.   21.8   4.2]
 [  5.   11.6 133.4]]"
resnet34,0.8550943396226416,0.8550943396226416,0.783315219036561,0.8567759531355037,0.8550943396226416,[0.93395673 0.4842216  0.93176734],[0.93258427 0.82307692 0.81466667],"[[ 83.    1.    5. ]
 [  0.4  21.4   4.2]
 [  5.6  22.2 122.2]]"
efficientnet_b0,0.8324528301886793,0.8324528301886793,0.7516861669485915,0.7985998271391529,0.8324528301886793,[0.9227672  0.43257648 0.89971482],[0.8988764  0.67692308 0.82      ],"[[ 80.    2.6   6.4]
 [  0.8  17.6   7.6]
 [  6.   21.  123. ]]"
efficientnet_b1,0.8120754716981132,0.8120754716981132,0.7442556410269648,0.8138507634687411,0.8120754716981132,[0.94772525 0.37330511 0.91173656],[0.89662921 0.77692308 0.768     ],"[[ 79.8   3.4   5.8]
 [  0.4  20.2   5.4]
 [  4.   30.8 115.2]]"
