model,precision,recall,precision_macro,recall_macro,accuracy,precision_per_class,recall_per_class,confusion_matrix
alexnet,0.8285714285714285,0.8285714285714285,0.8287759123797566,0.8285714285714285,0.8285714285714285,[0.836128   0.82142383],[0.81734694 0.83979592],"[[160.2  35.8]
 [ 31.4 164.6]]"
resnet34,0.823469387755102,0.823469387755102,0.8241253597858798,0.823469387755102,0.823469387755102,[0.81425359 0.83399713],[0.83877551 0.80816327],"[[164.4  31.6]
 [ 37.6 158.4]]"
efficientnet_b0,0.7816326530612245,0.7816326530612245,0.7825641837386541,0.7816326530612244,0.7816326530612245,[0.77010651 0.79502186],[0.80510204 0.75816327],"[[157.8  38.2]
 [ 47.4 148.6]]"
efficientnet_b1,0.7739795918367347,0.7739795918367347,0.7755798942814639,0.7739795918367347,0.7739795918367347,[0.76832283 0.78283696],[0.78673469 0.76122449],"[[154.2  41.8]
 [ 46.8 149.2]]"
