day,location,number,clear_count,cloudy_count,amber_count,clear_normalized,cloudy_normalized,amber_normalized
day_4_2024_12_17,greenhouse,53,856,4145,262,0.1626,0.7876,0.0498
day_4_2024_12_17,greenhouse,52,561,3058,168,0.1481,0.8075,0.0444
day_4_2024_12_17,greenhouse,51,431,2102,270,0.1538,0.7499,0.0963
day_4_2024_12_17,greenhouse,50,1144,4559,364,0.1886,0.7514,0.06
day_4_2024_12_17,greenhouse,49,408,7129,784,0.049,0.8567,0.0942
day_4_2024_12_17,greenhouse,48,786,3363,357,0.1744,0.7463,0.0792
day_4_2024_12_17,greenhouse,47,1026,2051,166,0.3164,0.6324,0.0512
day_4_2024_12_17,greenhouse,46,768,2441,276,0.2204,0.7004,0.0792
day_4_2024_12_17,lab,60,880,3685,528,0.1728,0.7235,0.1037
day_4_2024_12_17,lab,59,941,1367,71,0.3955,0.5746,0.0298
day_4_2024_12_17,lab,58,1697,3088,268,0.3358,0.6111,0.053
day_4_2024_12_17,lab,57,511,1741,597,0.1794,0.6111,0.2095
day_4_2024_12_17,lab,56,975,1870,190,0.3213,0.6161,0.0626
day_4_2024_12_17,lab,55,1209,1927,105,0.373,0.5946,0.0324
day_4_2024_12_17,lab,54,990,2184,210,0.2926,0.6454,0.0621
day_4_2024_12_17,lab,53,957,2640,377,0.2408,0.6643,0.0949
day_4_2024_12_17,lab,52,710,1740,192,0.2687,0.6586,0.0727
day_4_2024_12_17,lab,51,807,1746,164,0.297,0.6426,0.0604
day_4_2024_12_17,lab,50,536,1437,117,0.2565,0.6876,0.056
day_4_2024_12_17,lab,49,428,1981,414,0.1516,0.7017,0.1467
day_4_2024_12_17,lab,48,883,2393,204,0.2537,0.6876,0.0586
day_4_2024_12_17,lab,47,641,1156,58,0.3456,0.6232,0.0313
day_4_2024_12_17,lab,46,1478,2284,144,0.3784,0.5847,0.0369
day_5_2024_12_24,greenhouse,75,941,1157,42,0.4397,0.5407,0.0196
day_5_2024_12_24,greenhouse,74,894,1577,99,0.3479,0.6136,0.0385
day_5_2024_12_24,greenhouse,73,209,1311,125,0.1271,0.797,0.076
day_5_2024_12_24,greenhouse,72,917,909,67,0.4844,0.4802,0.0354
day_5_2024_12_24,greenhouse,71,79,449,31,0.1413,0.8032,0.0555
day_5_2024_12_24,greenhouse,70,449,1344,73,0.2406,0.7203,0.0391
day_5_2024_12_24,greenhouse,69,318,742,48,0.287,0.6697,0.0433
day_5_2024_12_24,greenhouse,68,246,580,30,0.2874,0.6776,0.035
day_5_2024_12_24,greenhouse,67,140,1144,63,0.1039,0.8493,0.0468
day_5_2024_12_24,greenhouse,66,105,1237,166,0.0696,0.8203,0.1101
day_5_2024_12_24,greenhouse,65,284,700,75,0.2682,0.661,0.0708
day_5_2024_12_24,greenhouse,64,217,773,100,0.1991,0.7092,0.0917
day_5_2024_12_24,greenhouse,63,146,938,96,0.1237,0.7949,0.0814
day_5_2024_12_24,greenhouse,62,272,844,46,0.2341,0.7263,0.0396
day_5_2024_12_24,greenhouse,61,269,912,69,0.2152,0.7296,0.0552
day_5_2024_12_24,lab,75,1308,1794,90,0.4098,0.562,0.0282
day_5_2024_12_24,lab,74,1307,2363,137,0.3433,0.6207,0.036
day_5_2024_12_24,lab,73,523,1373,255,0.2431,0.6383,0.1185
day_5_2024_12_24,lab,72,1263,1999,108,0.3748,0.5932,0.032
