Variety,Rep,Inf. Code,DAF,"Visual amber ratio
(%)",Fresh weight (gr),Dry weight (gr),Total CBD,Total THC,Total CBG,Total THCV,Total CBDV,Total CBGV,Total CBC,Total Cannabinoids,location,number,G-clear_count,G-cloudy_count,G-amber_count,G-clear_normalized,G-cloudy_normalized,G-amber_normalized,day_number,flower_index,Plant_id,VARIETY,location,number,L-clear_count,L-cloudy_count,L-amber_count,L-clear_normalized,L-cloudy_normalized,L-amber_normalized,day_number,flower_index,Plant_id
805-12,5,90,58,0,26.41,6.49,7.32,0.38,0.56,0.00,0.07,0.08,0.18,8.59,greenhouse,90,541,247,9,0.6788,0.3099,0.0113,3,150,30,805-12,lab,90,128,57,1,0.6882,0.3065,0.0054,3,150,30
805-12,1,116,62,0,22.15,5.17,5.85,0.34,0.55,0.00,0.06,0.00,0.18,6.98,greenhouse,116,184,415,9,0.3026,0.6826,0.0148,4,206,26,805-12,lab,116,105,404,17,0.1996,0.7681,0.0323,4,206,26
805-12,2,117,62,0,12.72,3.06,7.82,0.43,0.61,0.00,0.07,0.00,0.21,9.14,greenhouse,117,103,468,7,0.1782,0.8097,0.0121,4,207,27,805-12,lab,117,190,849,47,0.175,0.7818,0.0433,4,207,27
805-12,3,118,62,0,21.76,5.13,6.03,0.32,0.44,0.00,0.06,0.00,0.16,7.01,greenhouse,118,229,438,11,0.3378,0.646,0.0162,4,208,28,805-12,lab,118,448,962,39,0.3092,0.6639,0.0269,4,208,28
805-12,4,119,62,0,22.44,2.23,5.62,0.30,0.44,0.00,0.06,0.00,0.16,6.58,greenhouse,119,251,643,8,0.2783,0.7129,0.0089,4,209,29,805-12,lab,119,294,625,65,0.2988,0.6352,0.0661,4,209,29
805-12,5,120,62,0,23.52,5.4,6.49,0.34,0.41,0.00,0.06,0.00,0.18,7.49,greenhouse,120,155,479,45,0.2283,0.7054,0.0663,4,210,30,805-12,lab,120,630,929,57,0.3899,0.5749,0.0353,4,210,30
805-12,1,146,65,0,24.21,5.52,7.41,0.72,0.75,0.00,0.07,0.00,0.20,9.15,greenhouse,146,131,434,15,0.2259,0.7483,0.0259,5,266,26,805-12,,,,,,,,,,,
805-12,2,147,65,5,15.029,3.65,9.42,0.62,0.84,0.00,0.09,0.00,0.27,11.24,greenhouse,147,131,607,8,0.1756,0.8137,0.0107,5,267,27,805-12,lab,147,854,604,26,0.5755,0.407,0.0175,5,267,27
805-12,3,148,65,5,12.66,2.95,8.45,0.50,0.81,0.00,0.08,0.00,0.27,10.11,greenhouse,148,115,559,31,0.1631,0.7929,0.044,5,268,28,805-12,lab,148,616,445,20,0.5698,0.4117,0.0185,5,268,28
805-12,4,149,65,0,18.59,4.29,8.71,0.48,0.89,0.03,0.08,0.00,0.26,10.45,greenhouse,149,439,929,107,0.2976,0.6298,0.0725,5,269,29,805-12,lab,149,1048,459,11,0.6904,0.3024,0.0072,5,269,29
805-12,5,150,65,0,23.05,5.26,6.08,0.33,0.48,0.00,0.07,0.00,0.19,7.14,greenhouse,150,530,2735,151,0.1552,0.8006,0.0442,5,270,30,805-12,lab,150,489,330,7,0.592,0.3995,0.0085,5,270,30
805-12,1,176,69,0,22.37,5.19,7.96,1.05,0.78,0.03,0.07,0.08,0.24,10.21,greenhouse,176,259,707,14,0.2643,0.7214,0.0143,6,326,26,805-12,lab,176,537,822,57,0.3792,0.5805,0.0403,6,326,26
805-12,2,177,69,5,18.74,4.44,7.98,0.48,0.63,0.00,0.08,0.08,0.22,9.46,greenhouse,177,227,1728,84,0.1113,0.8475,0.0412,6,327,27,805-12,lab,177,203,790,18,0.2008,0.7814,0.0178,6,327,27
805-12,3,178,69,5,14.59,3.57,6.09,0.58,0.59,0.02,0.07,0.07,0.15,7.58,greenhouse,178,184,561,28,0.238,0.7257,0.0362,6,328,28,805-12,lab,178,398,879,62,0.2972,0.6565,0.0463,6,328,28
805-12,4,179,69,0,31.95,7.41,5.50,0.36,0.52,0.00,0.07,0.00,0.13,6.58,greenhouse,179,395,1885,88,0.1668,0.796,0.0372,6,329,29,805-12,lab,179,81,305,6,0.2066,0.7781,0.0153,6,329,29
805-12,5,180,69,0,16.98,3.95,7.29,0.62,0.63,0.00,0.07,0.08,0.21,8.90,greenhouse,180,429,1154,67,0.26,0.6994,0.0406,6,330,30,805-12,lab,180,195,382,28,0.3223,0.6314,0.0463,6,330,30
805-12,1,206,72,5,15.7,3.99,7.81,0.51,0.81,0.00,0.07,0.08,0.23,9.52,greenhouse,206,521,1685,77,0.2282,0.7381,0.0337,7,386,26,805-12,lab,206,379,420,41,0.4512,0.5,0.0488,7,386,26
805-12,2,207,72,5,24.38,5.95,7.52,0.40,0.56,0.02,0.07,0.07,0.22,8.86,greenhouse,207,404,1253,59,0.2354,0.7302,0.0344,7,387,27,805-12,lab,207,485,545,34,0.4558,0.5122,0.032,7,387,27
805-12,3,208,72,5,16.32,4.18,6.34,0.40,0.59,0.00,0.07,0.08,0.16,7.63,greenhouse,208,795,1688,66,0.3119,0.6622,0.0259,7,388,28,805-12,lab,208,706,598,39,0.5257,0.4453,0.029,7,388,28
805-12,4,209,72,5,31.63,7.56,5.73,0.33,0.54,0.00,0.07,0.00,0.17,6.84,greenhouse,209,1037,2850,97,0.2603,0.7154,0.0243,7,389,29,805-12,lab,209,474,199,7,0.6971,0.2926,0.0103,7,389,29
805-12,5,210,72,5,24.04,5.6,9.64,0.55,0.81,0.04,0.08,0.08,0.27,11.48,greenhouse,210,1005,2683,99,0.2654,0.7085,0.0261,7,390,30,805-12,lab,210,466,218,9,0.6724,0.3146,0.013,7,390,30
805-12,1,236,76,10,21.49,2.54,8.42,0.70,0.90,0.04,0.08,0.08,0.29,10.51,,,,,,,,,,,,,,,,,,,,,,,
805-12,2,237,76,15,20.48,4.87,6.34,0.34,0.52,0.02,0.07,0.00,0.27,7.56,,,,,,,,,,,,,,,,,,,,,,,
805-12,3,238,76,10,16.3,3.99,8.45,0.54,0.78,0.04,0.08,0.07,0.34,10.29,,,,,,,,,,,,,,,,,,,,,,,
805-12,4,239,76,10,11.12,2.78,7.58,0.46,0.79,0.03,0.09,0.00,0.25,9.19,,,,,,,,,,,,,,,,,,,,,,,
805-12,5,240,76,15,24.26,5.66,10.19,0.66,0.92,0.07,0.11,0.08,0.43,12.45,,,,,,,,,,,,,,,,,,,,,,,
805-12,1,266,79,15,22.96,,7.62,0.75,0.73,0.03,0.08,0.07,0.11,9.39,greenhouse,266,550,2355,108,0.1825,0.7816,0.0358,9,506,26,805-12,lab,266,346,255,6,0.57,0.4201,0.0099,9,506,26
805-12,2,267,79,15,19.07,,9.04,0.51,0.78,0.03,0.09,0.08,0.13,10.65,greenhouse,267,147,1570,208,0.0764,0.8156,0.1081,9,507,27,805-12,lab,267,292,217,31,0.5407,0.4019,0.0574,9,507,27
805-12,3,268,79,20,24.08,,8.00,0.48,0.63,0.03,0.08,0.08,0.24,9.53,greenhouse,268,574,2723,375,0.1563,0.7416,0.1021,9,508,28,805-12,lab,268,334,174,29,0.622,0.324,0.054,9,508,28
805-12,4,269,79,15,17.86,,6.87,0.49,0.67,0.03,0.08,0.00,0.11,8.25,greenhouse,269,675,1533,135,0.2881,0.6543,0.0576,9,509,29,805-12,lab,269,364,162,10,0.6791,0.3022,0.0187,9,509,29
805-12,5,270,79,20,26.83,,8.04,0.45,0.67,0.03,0.08,0.08,0.11,9.46,greenhouse,270,449,1670,151,0.1978,0.7357,0.0665,9,510,30,805-12,lab,270,359,390,30,0.4608,0.5006,0.0385,9,510,30
