day,location,number,clear_count,cloudy_count,amber_count,clear_normalized,cloudy_normalized,amber_normalized
day_4_2024_12_17,greenhouse,53,746,4301,112,0.1446,0.8337,0.0217
day_4_2024_12_17,greenhouse,54,2621,5946,62,0.3037,0.6891,0.0072
day_4_2024_12_17,greenhouse,55,1419,2645,91,0.3415,0.6366,0.0219
day_4_2024_12_17,greenhouse,56,2009,3977,57,0.3325,0.6581,0.0094
day_4_2024_12_17,greenhouse,57,443,4373,491,0.0835,0.824,0.0925
day_4_2024_12_17,greenhouse,58,1522,2644,50,0.361,0.6271,0.0119
day_4_2024_12_17,greenhouse,59,1634,2494,56,0.3905,0.5961,0.0134
day_4_2024_12_17,greenhouse,60,576,4889,385,0.0985,0.8357,0.0658
day_4_2024_12_17,lab,46,2069,1663,52,0.5468,0.4395,0.0137
day_4_2024_12_17,lab,47,871,897,33,0.4836,0.4981,0.0183
day_4_2024_12_17,lab,48,1585,1727,81,0.4671,0.509,0.0239
day_4_2024_12_17,lab,49,742,1816,191,0.2699,0.6606,0.0695
day_4_2024_12_17,lab,50,989,1011,36,0.4858,0.4966,0.0177
day_4_2024_12_17,lab,51,1344,1233,60,0.5097,0.4676,0.0228
day_4_2024_12_17,lab,52,1089,1376,102,0.4242,0.536,0.0397
day_4_2024_12_17,lab,53,1427,2261,169,0.37,0.5862,0.0438
day_4_2024_12_17,lab,54,1592,1608,69,0.487,0.4919,0.0211
day_4_2024_12_17,lab,55,1697,1396,54,0.5392,0.4436,0.0172
day_4_2024_12_17,lab,56,1455,1410,90,0.4924,0.4772,0.0305
day_4_2024_12_17,lab,57,733,1710,324,0.2649,0.618,0.1171
day_4_2024_12_17,lab,58,2338,2439,132,0.4763,0.4968,0.0269
day_4_2024_12_17,lab,59,1237,1021,43,0.5376,0.4437,0.0187
day_4_2024_12_17,lab,60,1449,3209,313,0.2915,0.6455,0.063
day_5_2024_12_24,greenhouse,61,327,871,21,0.2683,0.7145,0.0172
day_5_2024_12_24,greenhouse,62,228,873,39,0.2,0.7658,0.0342
day_5_2024_12_24,greenhouse,63,145,974,43,0.1248,0.8382,0.037
day_5_2024_12_24,greenhouse,64,265,736,67,0.2481,0.6891,0.0627
day_5_2024_12_24,greenhouse,65,375,574,82,0.3637,0.5567,0.0795
day_5_2024_12_24,greenhouse,66,99,1267,119,0.0667,0.8532,0.0801
day_5_2024_12_24,greenhouse,67,99,1213,12,0.0748,0.9162,0.0091
day_5_2024_12_24,greenhouse,68,214,605,11,0.2578,0.7289,0.0133
day_5_2024_12_24,greenhouse,69,327,731,17,0.3042,0.68,0.0158
day_5_2024_12_24,greenhouse,70,216,1576,23,0.119,0.8683,0.0127
day_5_2024_12_24,greenhouse,71,82,449,10,0.1516,0.8299,0.0185
day_5_2024_12_24,greenhouse,72,801,982,46,0.4379,0.5369,0.0252
day_5_2024_12_24,greenhouse,73,217,1306,78,0.1355,0.8157,0.0487
day_5_2024_12_24,greenhouse,74,1027,1400,60,0.4129,0.5629,0.0241
day_5_2024_12_24,greenhouse,75,923,1119,24,0.4468,0.5416,0.0116
day_5_2024_12_24,lab,61,623,1126,12,0.3538,0.6394,0.0068
day_5_2024_12_24,lab,62,696,1595,10,0.3025,0.6932,0.0043
day_5_2024_12_24,lab,63,604,2323,78,0.201,0.773,0.026
day_5_2024_12_24,lab,64,436,911,16,0.3199,0.6684,0.0117
day_5_2024_12_24,lab,65,313,825,25,0.2691,0.7094,0.0215
day_5_2024_12_24,lab,66,237,1074,31,0.1766,0.8003,0.0231
day_5_2024_12_24,lab,67,338,733,14,0.3115,0.6756,0.0129
day_5_2024_12_24,lab,68,641,1317,19,0.3242,0.6662,0.0096
day_5_2024_12_24,lab,69,1700,2988,78,0.3567,0.6269,0.0164
day_5_2024_12_24,lab,70,1407,2492,95,0.3523,0.6239,0.0238
day_5_2024_12_24,lab,71,900,1816,60,0.3242,0.6542,0.0216
day_5_2024_12_24,lab,72,1374,1865,37,0.4194,0.5693,0.0113
day_5_2024_12_24,lab,73,503,1488,105,0.24,0.7099,0.0501
day_5_2024_12_24,lab,74,1380,2267,50,0.3733,0.6132,0.0135
day_5_2024_12_24,lab,75,1289,1781,26,0.4163,0.5753,0.0084
day_6_2024_12_30,greenhouse,76,113,584,11,0.1596,0.8249,0.0155
day_6_2024_12_30,greenhouse,77,304,1240,7,0.196,0.7995,0.0045
day_6_2024_12_30,greenhouse,78,114,552,28,0.1643,0.7954,0.0403
day_6_2024_12_30,greenhouse,79,46,790,34,0.0529,0.908,0.0391
day_6_2024_12_30,greenhouse,80,746,1524,28,0.3246,0.6632,0.0122
day_6_2024_12_30,greenhouse,81,368,1188,129,0.2184,0.705,0.0766
day_6_2024_12_30,greenhouse,82,554,1139,32,0.3212,0.6603,0.0186
day_6_2024_12_30,greenhouse,83,335,1258,50,0.2039,0.7657,0.0304
day_6_2024_12_30,greenhouse,84,1488,1311,36,0.5249,0.4624,0.0127
day_6_2024_12_30,greenhouse,85,1227,1394,57,0.4582,0.5205,0.0213
day_6_2024_12_30,greenhouse,86,1567,1193,20,0.5637,0.4291,0.0072
day_6_2024_12_30,greenhouse,87,625,1874,82,0.2422,0.7261,0.0318
day_6_2024_12_30,greenhouse,88,1070,1246,87,0.4453,0.5185,0.0362
day_6_2024_12_30,greenhouse,89,1453,1067,25,0.5709,0.4193,0.0098
day_6_2024_12_30,greenhouse,90,183,2185,214,0.0709,0.8462,0.0829
day_7_2025_01_06,greenhouse,100,480,3646,156,0.1121,0.8515,0.0364
day_7_2025_01_06,greenhouse,101,544,1506,68,0.2568,0.711,0.0321
day_7_2025_01_06,greenhouse,102,762,2111,86,0.2575,0.7134,0.0291
day_7_2025_01_06,greenhouse,103,128,1967,486,0.0496,0.7621,0.1883
day_7_2025_01_06,greenhouse,104,1061,1161,53,0.4664,0.5103,0.0233
day_7_2025_01_06,greenhouse,105,1396,1988,67,0.4045,0.5761,0.0194
day_7_2025_01_06,greenhouse,91,369,1272,52,0.218,0.7513,0.0307
day_7_2025_01_06,greenhouse,92,653,1600,80,0.2799,0.6858,0.0343
day_7_2025_01_06,greenhouse,93,358,1946,168,0.1448,0.7872,0.068
day_7_2025_01_06,greenhouse,94,1352,1877,81,0.4085,0.5671,0.0245
day_7_2025_01_06,greenhouse,95,634,1395,172,0.2881,0.6338,0.0781
day_7_2025_01_06,greenhouse,96,142,1372,144,0.0856,0.8275,0.0869
day_7_2025_01_06,greenhouse,97,219,2073,17,0.0948,0.8978,0.0074
day_7_2025_01_06,greenhouse,98,275,740,46,0.2592,0.6975,0.0434
day_7_2025_01_06,greenhouse,99,730,1689,73,0.2929,0.6778,0.0293
day_7_2025_01_06,lab,100,1010,2532,325,0.2612,0.6548,0.084
day_7_2025_01_06,lab,101,1083,1845,110,0.3565,0.6073,0.0362
day_7_2025_01_06,lab,102,1218,1824,73,0.391,0.5856,0.0234
day_7_2025_01_06,lab,103,784,1986,366,0.25,0.6333,0.1167
day_7_2025_01_06,lab,104,964,1548,66,0.3739,0.6005,0.0256
day_7_2025_01_06,lab,105,1234,1669,74,0.4145,0.5606,0.0249
day_7_2025_01_06,lab,91,1354,1953,66,0.4014,0.579,0.0196
day_7_2025_01_06,lab,92,1452,2023,43,0.4127,0.575,0.0122
day_7_2025_01_06,lab,93,542,1678,180,0.2258,0.6992,0.075
day_7_2025_01_06,lab,94,1256,1867,47,0.3962,0.589,0.0148
day_7_2025_01_06,lab,95,1103,1863,107,0.3589,0.6062,0.0348
day_7_2025_01_06,lab,96,699,1716,204,0.2669,0.6552,0.0779
day_7_2025_01_06,lab,97,807,1881,129,0.2865,0.6677,0.0458
day_7_2025_01_06,lab,98,1006,1563,122,0.3738,0.5808,0.0453
day_7_2025_01_06,lab,99,1528,2411,149,0.3738,0.5898,0.0364
day_8_2025_01_09,greenhouse,106,1047,1806,283,0.3339,0.5759,0.0902
day_8_2025_01_09,greenhouse,107,2179,4669,228,0.3079,0.6598,0.0322
day_8_2025_01_09,greenhouse,108,754,1632,303,0.2804,0.6069,0.1127
day_8_2025_01_09,greenhouse,109,650,3396,713,0.1366,0.7136,0.1498
day_8_2025_01_09,greenhouse,110,1133,2305,349,0.2992,0.6087,0.0922
day_8_2025_01_09,greenhouse,111,2868,4239,762,0.3645,0.5387,0.0968
day_8_2025_01_09,greenhouse,112,761,4254,1258,0.1213,0.6781,0.2005
day_8_2025_01_09,greenhouse,113,806,1849,512,0.2545,0.5838,0.1617
day_8_2025_01_09,greenhouse,114,543,3385,449,0.1241,0.7734,0.1026
day_8_2025_01_09,greenhouse,115,1740,2734,213,0.3712,0.5833,0.0454
day_8_2025_01_09,greenhouse,116,876,1803,113,0.3138,0.6458,0.0405
day_8_2025_01_09,greenhouse,117,2306,3934,103,0.3636,0.6202,0.0162
day_8_2025_01_09,greenhouse,118,481,3253,720,0.108,0.7304,0.1617
